id,category,title,definition,type,notes,source,changes,units
SCCS1,"Subsistence, Economy",Intercommunity Trade as Food Source,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",Ordinal,,murdock1970subsistence,,
SCCS2,"Subsistence, Economy",Food Import Acquisition,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",Categorical,,murdock1970subsistence,,
SCCS3,"Subsistence, Economy",Agriculture- Contribution to Local Food Supply,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",Categorical,,murdock1970subsistence,,
SCCS4,"Subsistence, Economy",Crops- Principal,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",Categorical,,murdock1970subsistence,,
SCCS5,"Subsistence, Economy",Animal Husbandry- Contribution to Food Supply,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",Categorical,,murdock1970subsistence,,
SCCS6,"Subsistence, Economy",Animals- Domesticated,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",Categorical,,murdock1970subsistence,,
SCCS7,"Subsistence, Economy",Fishing- Contribution to Food Supply,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",Categorical,,murdock1970subsistence,,
SCCS8,"Subsistence, Economy",Fish,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",Categorical,,murdock1970subsistence,,
SCCS9,"Subsistence, Economy",Hunting- Contribution to Food Supply,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",Categorical,,murdock1970subsistence,,
SCCS10,"Subsistence, Economy",Animals Hunted,"Murdock, G. P., & Morrow, D. O. (1970). Subsistence economy and supportive practices: Cross-cultural codes 1. Ethnology, 9(3), 302-330.",Categorical,,murdock1970subsistence,,
