taxon,glottocode,xd_ids,soc_ids
chen1255,chen1255,xd672,"Eg1, B15"
dand1238,dand1238,xd679,Eg3
jenn1240,jenn1240,"xd914, xd913","B21, B20"
kada1242,kada1242,xd912,B19
koda1255,koda1255,xd681,Eg5
koya1251,koya1251,xd674,Eg11
kuii1252,kuii1252,xd675,Eg12
kuru1302,kuru1302,xd668,Ef6
mala1464,mala1464,xd682,Eg6
mala1468,mala1468,xd905,B11
mukh1238,mukh1238,xd677,Eg14
nort2702,nort2702,xd676,Eg13
pali1274,pali1274,xd910,B17
tami1289,tami1289,xd678,Eg2
telu1262,telu1262,xd673,Eg10
toda1252,toda1252,xd680,Eg4
