id,type,name,description,year,author,reference,url
EA,cultural,Ethnographic Atlas,,1999,Murdock et al.,"Murdock, G. P., R. Textor, H. Barry, III, D. R. White, J. P. Gray, and W. T. Divale. 1999. Ethnographic Atlas. World Cultures 10:24-136 (codebook)",http://eclectic.ss.uci.edu/~drwhite/worldcul/atlas.htm
Binford,cultural,Binford Hunter-Gatherer,,2001,Binford,"Binford, L. 2001. Constructing Frames of Reference: An Analytical Method for Archaeological Theory Building Using Hunter-gatherer and Environmental Data Sets. University of California Press",http://www.ucpress.edu/book.php?isbn=9780520223936
SCCS,cultural,Standard cross-cultural sample,,1969,Murdock,"",http://eclectic.ss.uci.edu/~drwhite/sccs/
WNAI,cultural,Western North American Indian database,,1966,Jorgensen,"",
MODIS,environmental,Moderate Resolution Imaging Spectroradiometer,,,,"NASA. Net Primary Productivity (1 month - TERRA/MODIS) [Internet]. Available: http://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD17A2_M_PSN",http://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD17A2_M_PSN
CRUTS,environmental,CRU-TS 3.1 Climate Database,,,,"Harris I, Jones PD, Osborn TJ, Lister DH. Updated high resolution grids of monthly climatic observations–the CRU TS3. 10 Dataset. Int J Climatol. 2014;34: 623–642.",http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database
TEOW,environmental,Terrestrial Ecoregions of the World,,2001,Olson et al.,"Olson, D. M., Dinerstein, E., Wikramanayake, E. D., Burgess, N. D., Powell, G. V. N., Underwood, E. C., D'Amico, J. A., Itoua, I., Strand, H. E., Morrison, J. C., Loucks, C. J., Allnutt, T. F., Ricketts, T. H., Kura, Y., Lamoreux, J. F., Wettengel, W. W., Hedao, P., Kassem, K. R. 2001. Terrestrial ecoregions of the world: a new map of life on Earth. Bioscience 51(11):933-938.",http://www.worldwildlife.org/publications/terrestrial-ecoregions-of-the-world
GTOPO30,environmental,Global 30 Arc-Second Elevation,,,LP DAAC (Land Processes Distributed Active Archive Center),"LP DAAC (Land Processes Distributed Active Archive Center) USGS/EROS. Global 30 arc-second elevation (GTOPO30): Longterm archive [Internet]. Available: https://lta.cr.usgs.gov/GTOPO30",https://lta.cr.usgs.gov/GTOPO30
Kreft,environmental,Kreft and Jetz 2007,,2007,Kreft and Jetz,"Kreft H, Jetz W. Global patterns and determinants of vascular plant diversity. Proc Natl Acad Sci. 2007;104: 5925–5930.",http://www.pnas.org/content/104/14/5925
Jenkins,environmental,Jenkins et al. 2013,,2013,Jenkins et al.,"Jenkins CN, Pimm SL, Joppa LN. Global patterns of terrestrial vertebrate diversity and conservation. Proc Natl Acad Sci. 2013;110: E2602–E2610.",http://www.pnas.org/content/110/28/E2602.abstract
GSHHS,environmental,High-resolution Geography Database,,2015,Wessel and Smith,"Wessel P, Smith, W. H. F. Global Self-consistent, Hierarchical, High-resolution Geography Database (GSHHS) v2.3.4 [Internet]. 2015. Available: https://www.ngdc.noaa.gov/mgg/shorelines/gshhs.html",https://www.ngdc.noaa.gov/mgg/shorelines/gshhs.html
