dataset,soc_id,origLat,origLong,Lat,Long,Comment
Binford,B1,3.00,114.00,3.00,114.00,Original
Binford,B10,8.58,81.25,8.59,81.19,Revised
Binford,B100,-15.32,124.72,-15.32,124.72,Original
Binford,B101,-16.91,127.83,-16.91,127.83,Original
Binford,B102,-16.30,139.30,-16.48,139.32,Revised
Binford,B103,-16.94,139.28,-16.94,139.03,Revised
Binford,B104,-18.92,121.21,-18.94,121.68,Revised
Binford,B105,-17.64,145.84,-17.64,145.84,Original
Binford,B106,-20.88,118.27,-20.88,118.27,Original
Binford,B107,-18.41,145.61,-18.41,145.61,Original
Binford,B108,-19.16,130.00,-19.16,130.00,Original
Binford,B109,-20.00,130.57,-20.00,130.57,Original
Binford,B11,9.25,77.25,9.25,77.25,Original
Binford,B110,-17.36,145.56,-17.36,145.56,Original
Binford,B111,-22.79,125.06,-22.79,125.06,Original
Binford,B112,-22.93,127.18,-22.93,127.18,Original
Binford,B113,-22.86,129.44,-22.86,129.44,Original
Binford,B114,-27.28,153.24,-27.27,153.02,Revised
Binford,B115,-27.25,152.87,-27.25,152.87,Original
Binford,B116,-24.41,141.64,-24.41,141.64,Original
Binford,B117,-22.27,135.17,-22.27,135.17,Original
Binford,B118,-25.32,127.27,-25.32,127.27,Original
Binford,B119,-29.59,152.78,-29.59,152.78,Original
Binford,B12,17.33,122.13,17.33,122.13,Original
Binford,B120,-26.00,130.00,-26.00,130.00,Original
Binford,B121,-28.54,139.09,-28.54,139.09,Original
Binford,B122,-26.09,135.52,-26.09,135.52,Original
Binford,B123,-27.00,131.95,-27.00,131.95,Original
Binford,B124,-23.70,133.76,-23.70,133.76,Original
Binford,B125,-29.30,147.25,-29.30,147.25,Original
Binford,B126,-27.31,128.19,-27.31,128.19,Original
Binford,B127,-30.38,131.81,-30.38,131.81,Original
Binford,B128,-32.40,142.25,-32.40,142.25,Original
Binford,B129,-34.56,138.40,-34.56,138.40,Original
Binford,B13,17.48,122.05,17.48,122.05,Original
Binford,B130,-32.14,146.09,-32.14,146.09,Original
Binford,B131,-35.06,139.29,-35.06,139.29,Original
Binford,B132,-34.95,117.81,-34.95,117.81,Original
Binford,B133,-35.86,141.38,-35.86,141.38,Original
Binford,B134,-38.93,145.07,-38.48,145.23,Revised
Binford,B135,-37.59,147.42,-37.59,147.42,Original
Binford,B136,-42.62,147.49,-42.62,147.49,Original
Binford,B137,-41.38,145.21,-41.38,145.21,Original
Binford,B14,17.82,121.80,17.82,121.80,Original
Binford,B143,29.59,-112.18,29.59,-112.18,Original
Binford,B144,33.59,-116.24,33.59,-116.24,Original
Binford,B145,33.26,-116.59,33.26,-116.59,Original
Binford,B146,31.44,-115.25,31.44,-115.25,Original
Binford,B147,32.44,-116.49,32.44,-116.49,Original
Binford,B148,36.00,-119.83,36.00,-119.83,Original
Binford,B149,34.52,-117.00,34.52,-117.00,Original
Binford,B15,16.25,78.97,16.25,78.97,Original
Binford,B150,33.42,-117.30,33.42,-117.30,Original
Binford,B151,36.45,-118.96,36.45,-118.96,Original
Binford,B152,36.00,-118.32,36.00,-118.32,Original
Binford,B153,40.00,-122.56,40.00,-122.56,Original
Binford,B154,37.44,-120.44,37.44,-120.44,Original
Binford,B155,39.08,-122.05,39.08,-122.05,Original
Binford,B156,34.00,-118.00,34.00,-118.00,Original
Binford,B157,36.60,-117.08,36.60,-117.08,Original
Binford,B158,39.03,-122.94,39.03,-122.94,Original
Binford,B159,39.12,-122.94,39.12,-122.94,Original
Binford,B16,18.41,100.47,18.41,100.47,Original
Binford,B160,40.90,-122.35,40.90,-122.35,Original
Binford,B161,34.63,-119.60,34.63,-119.60,Original
Binford,B162,40.85,-123.30,40.85,-123.30,Original
Binford,B163,39.03,-121.15,39.03,-121.15,Original
Binford,B164,35.47,-120.84,35.47,-120.84,Original
Binford,B165,38.54,-122.88,38.54,-122.88,Original
Binford,B166,40.10,-123.96,40.10,-123.96,Original
Binford,B167,40.18,-123.16,40.18,-123.16,Original
Binford,B168,38.24,-122.88,38.24,-122.88,Original
Binford,B169,40.17,-124.04,40.17,-124.04,Original
